RANK,NAME,POSITION,G,AB,BB,H,HBP,SF,SH,PCT
1,Sydney O'Hara,SP/RP,49,126,46,60,8,2,1,0.626
2,Amber Schisler,SP/RP,58,153,57,66,18,0,0,0.618
3,Kendyl Lindaman,C,61,148,63,63,5,3,0,0.598
4,Samantha Stewart,C,47,116,49,45,2,2,0,0.568
5,Elizabeth Snow,C,45,119,28,51,8,1,0,0.558
6,Meghan Gregg,INF,60,167,34,73,11,0,0,0.557
7,Marissa Reynolds,OF,43,110,27,48,4,1,2,0.556
8,Kayli Kvistad,DP,68,174,67,64,8,2,0,0.554
9,Chloe Miller,INF,52,155,38,66,4,1,3,0.545
10,Erika Piancastelli,INF,61,160,63,60,1,4,1,0.544
11,Amber Nelson,C,50,133,38,52,7,2,1,0.539
12,Jessica Warren,INF,64,179,35,74,19,5,0,0.538
13,Emily Lochten,INF,54,158,45,64,2,2,0,0.536
14,Aleah Craighton,OF,55,145,49,50,14,3,0,0.536
15,R. Bayless,3B,63,157,71,49,3,1,0,0.53
16,Stephanie Texeira,1B,61,156,50,57,9,4,0,0.53
17,Caleigh Clifton,INF,70,194,45,69,26,0,6,0.528
18,Shaye Harre,INF,57,142,57,48,1,1,3,0.527
19,Nicole Lundstrom,INF,48,135,46,51,1,4,0,0.527
20,Amanda Lorenz,OF,68,196,58,76,3,4,0,0.525
21,Kacie Burnett,OF,45,154,10,75,2,0,1,0.524
22,DJ Sanders,SS,55,160,46,62,1,1,0,0.524
23,Lea Foerster,OF,58,181,26,72,20,0,1,0.52
24,Vanessa Shippy,INF,63,181,47,72,0,2,1,0.517
25,Sahvanna Jaquish,C,70,178,62,59,6,1,2,0.514
26,Bethany Olea,INF,59,178,33,74,3,0,3,0.514
27,Carly Gonzales,OF,58,170,34,64,14,0,1,0.514
28,Hannah Flippen,2B,53,158,26,67,4,1,3,0.513
29,Jasmine Palmer,2B,48,123,32,37,21,0,4,0.511
30,Jessica Hughes,INF,61,181,53,67,2,3,0,0.51
31,Justene Reyes,OF,56,151,34,54,15,2,0,0.51
32,Lauren Fischer,INF,47,124,45,41,1,1,2,0.509
